name	period	bikes	cluster1	cluster2	num1	trip1	num2	trip2
"Madison Ave & E 82 St"	evening	11.42	0	0	430	29.5	492	38.64
"Madison Ave & E 82 St"	night	0.61	0	0	430	29.5	492	38.64
"Grand St & Greene St"	morning	18.71	1	2	184	94.58	193	140.11
"Grand St & Greene St"	afternoon	64.29	1	2	184	94.58	193	140.11
"Grand St & Greene St"	evening	35.19	1	2	184	94.58	193	140.11
"Grand St & Greene St"	night	1.87	1	2	184	94.58	193	140.11
"Greenpoint Ave & Manhattan Ave"	morning	20.19	1	0	184	94.58	492	38.64
"Greenpoint Ave & Manhattan Ave"	afternoon	19.97	1	0	184	94.58	492	38.64
"Greenpoint Ave & Manhattan Ave"	evening	21.35	1	0	184	94.58	492	38.64
"Greenpoint Ave & Manhattan Ave"	night	1.32	1	0	184	94.58	492	38.64
"St Marks Pl & 2 Ave"	morning	38.52	4	2	118	173.67	193	140.11
"St Marks Pl & 2 Ave"	afternoon	63.06	4	2	118	173.67	193	140.11
"St Marks Pl & 2 Ave"	evening	73.48	4	2	118	173.67	193	140.11
"St Marks Pl & 2 Ave"	night	10.48	4	2	118	173.67	193	140.11
"W 56 St & 10 Ave"	morning	37.16	1	2	184	94.58	193	140.11
"W 56 St & 10 Ave"	afternoon	29.52	1	2	184	94.58	193	140.11
"W 56 St & 10 Ave"	evening	29.35	1	2	184	94.58	193	140.11
"W 56 St & 10 Ave"	night	2.23	1	2	184	94.58	193	140.11
"E 4 St & 2 Ave"	morning	45.97	4	2	118	173.67	193	140.11
"E 4 St & 2 Ave"	afternoon	52.94	4	2	118	173.67	193	140.11
"E 4 St & 2 Ave"	evening	56.84	4	2	118	173.67	193	140.11
"E 4 St & 2 Ave"	night	8.23	4	2	118	173.67	193	140.11
"Broadway & W 29 St"	morning	95.9	2	1	33	292.03	51	267.31
"Broadway & W 29 St"	afternoon	116.87	2	1	33	292.03	51	267.31
"Broadway & W 29 St"	evening	48.77	2	1	33	292.03	51	267.31
"Broadway & W 29 St"	night	3.29	2	1	33	292.03	51	267.31
"Mott St & Prince St"	morning	44.1	4	2	118	173.67	193	140.11
"Mott St & Prince St"	afternoon	67.1	4	2	118	173.67	193	140.11
"Mott St & Prince St"	evening	66.0	4	2	118	173.67	193	140.11
"Mott St & Prince St"	night	4.45	4	2	118	173.67	193	140.11
"Lexington Ave & E 29 St"	morning	52.58	4	2	118	173.67	193	140.11
"Lexington Ave & E 29 St"	afternoon	55.39	4	2	118	173.67	193	140.11
"Lexington Ave & E 29 St"	evening	38.87	4	2	118	173.67	193	140.11
"Lexington Ave & E 29 St"	night	2.16	4	2	118	173.67	193	140.11
"W 47 St & 10 Ave"	morning	40.45	4	2	118	173.67	193	140.11
"W 47 St & 10 Ave"	afternoon	47.97	4	2	118	173.67	193	140.11
"W 47 St & 10 Ave"	evening	40.58	4	2	118	173.67	193	140.11
"W 47 St & 10 Ave"	night	4.48	4	2	118	173.67	193	140.11
"S 5 Pl & S 5 St"	morning	46.52	1	2	184	94.58	193	140.11
"S 5 Pl & S 5 St"	afternoon	51.61	1	2	184	94.58	193	140.11
"S 5 Pl & S 5 St"	evening	34.06	1	2	184	94.58	193	140.11
"S 5 Pl & S 5 St"	night	4.65	1	2	184	94.58	193	140.11
"W 49 St & 8 Ave"	morning	56.52	4	2	118	173.67	193	140.11
"W 49 St & 8 Ave"	afternoon	52.52	4	2	118	173.67	193	140.11
"W 49 St & 8 Ave"	evening	46.16	4	2	118	173.67	193	140.11
"W 49 St & 8 Ave"	night	4.52	4	2	118	173.67	193	140.11
"Watts St & Greenwich St"	morning	38.58	4	2	118	173.67	193	140.11
"Watts St & Greenwich St"	afternoon	54.52	4	2	118	173.67	193	140.11
"Watts St & Greenwich St"	evening	38.65	4	2	118	173.67	193	140.11
"Watts St & Greenwich St"	night	2.35	4	2	118	173.67	193	140.11
"Sullivan St & Washington Sq"	morning	50.58	4	1	118	173.67	51	267.31
"Sullivan St & Washington Sq"	afternoon	80.16	4	1	118	173.67	51	267.31
"Sullivan St & Washington Sq"	evening	73.58	4	1	118	173.67	51	267.31
"Sullivan St & Washington Sq"	night	8.0	4	1	118	173.67	51	267.31
"Lispenard St & Broadway"	morning	28.45	1	2	184	94.58	193	140.11
"Lispenard St & Broadway"	afternoon	50.68	1	2	184	94.58	193	140.11
"Lispenard St & Broadway"	evening	44.84	1	2	184	94.58	193	140.11
"Lispenard St & Broadway"	night	2.65	1	2	184	94.58	193	140.11
"E 6 St & Avenue B"	morning	47.03	4	2	118	173.67	193	140.11
"E 6 St & Avenue B"	afternoon	50.16	4	2	118	173.67	193	140.11
"E 6 St & Avenue B"	evening	38.0	4	2	118	173.67	193	140.11
"E 6 St & Avenue B"	night	3.71	4	2	118	173.67	193	140.11
"Park Pl & Vanderbilt Ave"	morning	14.29	0	0	430	29.5	492	38.64
"Park Pl & Vanderbilt Ave"	afternoon	14.74	0	0	430	29.5	492	38.64
"Park Pl & Vanderbilt Ave"	evening	15.32	0	0	430	29.5	492	38.64
"Park Pl & Vanderbilt Ave"	night	0.74	0	0	430	29.5	492	38.64
"East End Ave & E 86 St"	morning	11.65	0	0	430	29.5	492	38.64
"East End Ave & E 86 St"	afternoon	8.19	0	0	430	29.5	492	38.64
"East End Ave & E 86 St"	evening	3.87	0	0	430	29.5	492	38.64
"East End Ave & E 86 St"	night	0.03	0	0	430	29.5	492	38.64
"Riverside Blvd & W 67 St"	morning	38.0	1	0	184	94.58	492	38.64
"Riverside Blvd & W 67 St"	afternoon	29.84	1	0	184	94.58	492	38.64
"Riverside Blvd & W 67 St"	evening	19.58	1	0	184	94.58	492	38.64
"Riverside Blvd & W 67 St"	night	0.84	1	0	184	94.58	492	38.64
"E 81 St & 3 Ave"	morning	19.35	0	0	430	29.5	492	38.64
"E 81 St & 3 Ave"	afternoon	17.77	0	0	430	29.5	492	38.64
"E 81 St & 3 Ave"	evening	15.42	0	0	430	29.5	492	38.64
"E 81 St & 3 Ave"	night	0.81	0	0	430	29.5	492	38.64
"Mercer St & Bleecker St"	morning	55.84	4	1	118	173.67	51	267.31
"Mercer St & Bleecker St"	afternoon	87.19	4	1	118	173.67	51	267.31
"Mercer St & Bleecker St"	evening	60.74	4	1	118	173.67	51	267.31
"Mercer St & Bleecker St"	night	3.29	4	1	118	173.67	51	267.31
"2 Ave & E 31 St"	morning	37.1	4	2	118	173.67	193	140.11
"2 Ave & E 31 St"	afternoon	62.48	4	2	118	173.67	193	140.11
"2 Ave & E 31 St"	evening	57.58	4	2	118	173.67	193	140.11
"2 Ave & E 31 St"	night	3.77	4	2	118	173.67	193	140.11
"Milton St & Franklin St"	morning	24.29	1	2	184	94.58	193	140.11
"Milton St & Franklin St"	afternoon	38.13	1	2	184	94.58	193	140.11
"Milton St & Franklin St"	evening	33.39	1	2	184	94.58	193	140.11
"Milton St & Franklin St"	night	2.16	1	2	184	94.58	193	140.11
"Allen St & Stanton St"	morning	48.35	4	2	118	173.67	193	140.11
